ResourceCategory,ResourceType,Name,Description,visible,verified,tags,metricName,metricNamespace,severity,windowSize,evaluationFrequency,timeAggregation,operator,threshold,criterionType,dimensions,alertSensitivity,failingPeriods,metricMeasureColumn,resouceIdColumn,autoMitigate,references
Cache,Redis,usedmemory,"The amount of cache memory used for key/value pairs in the cache in MB. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1131",usedmemory,Microsoft.Cache/Redis,3,PT5M,PT5M,Maximum,GreaterThan,200000000.0,StaticThresholdCriterion,,,,,,,
Cache,Redis,usedmemoryRss,"The amount of cache memory used in MB, including fragmentation and metadata. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-549",usedmemoryRss,Microsoft.Cache/Redis,3,PT5M,PT1M,Average,GreaterThan,11000000000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,allconnectedclients,"The number of client connections to the cache. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-395",allconnectedclients,Microsoft.Cache/Redis,3,PT5M,PT1M,Maximum,GreaterThan,128.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,servers,cpu_percent,CPU percent,TRUE,FALSE,"auto-generated, agc-6560",cpu_percent,Microsoft.DBforPostgreSQL/servers,2,PT5M,PT1M,Average,GreaterThan,80.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,servers,storage_percent,Storage percent,TRUE,FALSE,"auto-generated, agc-4912",storage_percent,Microsoft.DBforPostgreSQL/servers,2,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,servers,memory_percent,Memory percent,TRUE,FALSE,"auto-generated, agc-4069",memory_percent,Microsoft.DBforPostgreSQL/servers,2,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,servers,connections_failed,Failed Connections,TRUE,FALSE,"auto-generated, agc-2453",connections_failed,Microsoft.DBforPostgreSQL/servers,3,PT5M,PT1M,Total,GreaterThan,10.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,servers,active_connections,Active Connections,TRUE,FALSE,"auto-generated, agc-2355",active_connections,Microsoft.DBforPostgreSQL/servers,2,PT5M,PT1M,Average,GreaterThan,120.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,servers,io_consumption_percent,IO percent,TRUE,FALSE,"auto-generated, agc-2324",io_consumption_percent,Microsoft.DBforPostgreSQL/servers,2,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,servers,serverlog_storage_percent,Server Log storage percent,TRUE,FALSE,"auto-generated, agc-526",serverlog_storage_percent,Microsoft.DBforPostgreSQL/servers,2,PT5M,PT1M,Average,GreaterThan,80.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,servers,pg_replica_log_delay_in_seconds,Replica lag in seconds,TRUE,FALSE,"auto-generated, agc-298",pg_replica_log_delay_in_seconds,Microsoft.DBforPostgreSQL/servers,2,PT5M,PT1M,Maximum,GreaterThan,60.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,storage_percent,Storage percent,TRUE,FALSE,"auto-generated, agc-10057",storage_percent,Microsoft.DBforPostgreSQL/flexibleServers,2,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,cpu_percent,CPU percent,TRUE,FALSE,"auto-generated, agc-8697",cpu_percent,Microsoft.DBforPostgreSQL/flexibleServers,2,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,memory_percent,Memory percent,TRUE,FALSE,"auto-generated, agc-6514",memory_percent,Microsoft.DBforPostgreSQL/flexibleServers,2,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,active_connections,Active Connections,TRUE,FALSE,"auto-generated, agc-3803",active_connections,Microsoft.DBforPostgreSQL/flexibleServers,2,PT5M,PT1M,Average,GreaterThan,120.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,connections_failed,Failed Connections,TRUE,FALSE,"auto-generated, agc-3474",connections_failed,Microsoft.DBforPostgreSQL/flexibleServers,3,PT5M,PT1M,Total,GreaterThan,5.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,iops,IO Operations per second,TRUE,FALSE,"auto-generated, agc-992",iops,Microsoft.DBforPostgreSQL/flexibleServers,3,PT5M,PT1M,Average,GreaterThan,450.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,disk_iops_consumed_percentage,Percentage of disk I/Os consumed per minute,TRUE,FALSE,"auto-generated, agc-766",disk_iops_consumed_percentage,Microsoft.DBforPostgreSQL/flexibleServers,2,PT5M,PT5M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,is_db_alive,Indicates if the database is up or not,TRUE,FALSE,"auto-generated, agc-698",is_db_alive,Microsoft.DBforPostgreSQL/flexibleServers,1,PT15M,PT15M,Maximum,LessThan,1.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,storage_free,Storage Free,TRUE,FALSE,"auto-generated, agc-379",storage_free,Microsoft.DBforPostgreSQL/flexibleServers,0,PT1H,PT5M,Average,LessThan,10737418240.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,deadlocks,Number of deadlocks detected in this database,TRUE,FALSE,"auto-generated, agc-335",deadlocks,Microsoft.DBforPostgreSQL/flexibleServers,3,PT5M,PT1M,Total,GreaterThan,1.0,StaticThresholdCriterion,,,,,,,
DBforPostgreSQL,flexibleServers,maximum_used_transactionIDs,Maximum Used Transaction IDs,TRUE,FALSE,"auto-generated, agc-269",maximum_used_transactionIDs,Microsoft.DBforPostgreSQL/flexibleServers,0,PT1H,PT15M,Maximum,GreaterThan,10737418240.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,DeadletteredMessages,Count of dead-lettered messages in a Queue/Topic.,TRUE,FALSE,"auto-generated, agc-29194",DeadletteredMessages,Microsoft.ServiceBus/namespaces,3,PT5M,PT1M,Average,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,ActiveMessages,Count of active messages in a Queue/Topic.,TRUE,FALSE,"auto-generated, agc-24605",ActiveMessages,Microsoft.ServiceBus/namespaces,3,PT5M,PT1M,Average,GreaterThan,100.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,Size,Size of an Queue/Topic in Bytes.,TRUE,FALSE,"auto-generated, agc-22027",Size,Microsoft.ServiceBus/namespaces,3,PT15M,PT15M,Average,GreaterThan,3000000000.0,StaticThresholdCriterion,"[{""operator"": ""include"", ""name"": ""entityname"", ""values"": [""lp-cl-sa-centralus-queue""]}]",,,,,,
ServiceBus,namespaces,Messages,Count of messages in a Queue/Topic.,TRUE,FALSE,"auto-generated, agc-7384",Messages,Microsoft.ServiceBus/namespaces,3,PT5M,PT1M,Average,GreaterThan,100000.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,ThrottledRequests,Throttled Requests for Microsoft.ServiceBus.,TRUE,FALSE,"auto-generated, agc-3342",ThrottledRequests,Microsoft.ServiceBus/namespaces,0,PT5M,PT1M,Total,GreaterThan,10.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,ServerErrors,Server Errors for Microsoft.ServiceBus.,TRUE,FALSE,"auto-generated, agc-3184",ServerErrors,Microsoft.ServiceBus/namespaces,3,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,NamespaceCpuUsage,Service bus premium namespace CPU usage metric.,TRUE,FALSE,"auto-generated, agc-2328",NamespaceCpuUsage,Microsoft.ServiceBus/namespaces,2,PT15M,PT5M,Average,GreaterThan,85.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,UserErrors,User Errors for Microsoft.ServiceBus.,TRUE,FALSE,"auto-generated, agc-1427",UserErrors,Microsoft.ServiceBus/namespaces,3,PT5M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,OutgoingMessages,Outgoing Messages for Microsoft.ServiceBus.,TRUE,FALSE,"auto-generated, agc-1097",OutgoingMessages,Microsoft.ServiceBus/namespaces,1,PT5M,PT1M,Total,LessThanOrEqual,0.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,NamespaceMemoryUsage,Service bus premium namespace memory usage metric.,TRUE,FALSE,"auto-generated, agc-1092",NamespaceMemoryUsage,Microsoft.ServiceBus/namespaces,2,PT5M,PT1M,Average,GreaterThan,80.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,IncomingMessages,Incoming Messages for Microsoft.ServiceBus.,TRUE,FALSE,"auto-generated, agc-725",IncomingMessages,Microsoft.ServiceBus/namespaces,2,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,AbandonMessage,Count of messages abandoned on a Queue/Topic.,TRUE,FALSE,"auto-generated, agc-468",AbandonMessage,Microsoft.ServiceBus/namespaces,2,PT5M,PT1M,Total,GreaterThan,1.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,ServerSendLatency,Latency of Send Message operations for Service Bus resources.,TRUE,FALSE,"auto-generated, agc-420",ServerSendLatency,Microsoft.ServiceBus/namespaces,2,PT5M,PT1M,Average,GreaterThan,500.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,ScheduledMessages,Count of scheduled messages in a Queue/Topic.,TRUE,FALSE,"auto-generated, agc-394",ScheduledMessages,Microsoft.ServiceBus/namespaces,3,PT5M,PT1M,Average,GreaterThan,500.0,StaticThresholdCriterion,,,,,,,
ServiceBus,namespaces,ActiveConnections,Total Active Connections for Microsoft.ServiceBus.,TRUE,FALSE,"auto-generated, agc-257",ActiveConnections,Microsoft.ServiceBus/namespaces,3,PT5M,PT1M,Total,GreaterThan,5000.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,PipelineFailedRuns,Failed pipeline runs metrics,TRUE,FALSE,"auto-generated, agc-75184",PipelineFailedRuns,Microsoft.DataFactory/factories,1,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-datafactory-factories-metrics
https://learn.microsoft.com/azure/data-factory/monitor-metrics-alerts"
DataFactory,factories,MaxAllowedResourceCount,Maximum allowed entities count,TRUE,FALSE,"auto-generated, agc-16734",MaxAllowedResourceCount,Microsoft.DataFactory/factories,1,PT30M,PT30M,Maximum,LessThan,2500000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-datafactory-factories-metrics
https://learn.microsoft.com/azure/data-factory/monitor-metrics-alerts"
DataFactory,factories,FactorySizeInGbUnits,Total factory size (GB unit),TRUE,FALSE,"auto-generated, agc-16557",FactorySizeInGbUnits,Microsoft.DataFactory/factories,1,PT30M,PT30M,Maximum,GreaterThan,6.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-datafactory-factories-metrics
https://learn.microsoft.com/azure/data-factory/monitor-metrics-alerts"
DataFactory,factories,MaxAllowedFactorySizeInGbUnits,Maximum allowed factory size (GB unit),TRUE,FALSE,"auto-generated, agc-16494",MaxAllowedFactorySizeInGbUnits,Microsoft.DataFactory/factories,1,PT30M,PT30M,Maximum,LessThan,8.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-datafactory-factories-metrics
https://learn.microsoft.com/azure/data-factory/monitor-metrics-alerts"
DataFactory,factories,ResourceCount,Total entities count,TRUE,FALSE,"auto-generated, agc-16399",ResourceCount,Microsoft.DataFactory/factories,1,PT30M,PT30M,Maximum,GreaterThan,1700000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-datafactory-factories-metrics
https://learn.microsoft.com/azure/data-factory/monitor-metrics-alerts"
DataFactory,factories,PipelineSucceededRuns,Succeeded pipeline runs metrics,TRUE,FALSE,"auto-generated, agc-10543",PipelineSucceededRuns,Microsoft.DataFactory/factories,0,PT15M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,"[{""operator"": ""include"", ""name"": ""name"", ""values"": [""productrecommendation""]}]",,,,,,"https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-datafactory-factories-metrics
https://learn.microsoft.com/azure/data-factory/monitor-metrics-alerts"
DataFactory,factories,ActivityFailedRuns,Failed activity runs metrics,TRUE,FALSE,"auto-generated, agc-8534",ActivityFailedRuns,Microsoft.DataFactory/factories,1,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,TriggerFailedRuns,Failed trigger runs metrics,TRUE,FALSE,"auto-generated, agc-8166",TriggerFailedRuns,Microsoft.DataFactory/factories,1,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,IntegrationRuntimeCpuPercentage,Integration runtime CPU utilization,TRUE,FALSE,"auto-generated, agc-2737",IntegrationRuntimeCpuPercentage,Microsoft.DataFactory/factories,3,PT5M,PT1M,Average,GreaterThan,95.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,PipelineElapsedTimeRuns,Elapsed Time Pipeline Runs Metrics,TRUE,FALSE,"auto-generated, agc-1568",PipelineElapsedTimeRuns,Microsoft.DataFactory/factories,3,PT30M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,IntegrationRuntimeAvailableMemory,Integration runtime available memory,TRUE,FALSE,"auto-generated, agc-691",IntegrationRuntimeAvailableMemory,Microsoft.DataFactory/factories,3,PT5M,PT1M,Average,LessThanOrEqual,5000000000.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,ActivitySucceededRuns,Succeeded activity runs metrics,TRUE,FALSE,"auto-generated, agc-651",ActivitySucceededRuns,Microsoft.DataFactory/factories,3,PT1M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,PipelineCancelledRuns,Cancelled pipeline runs metrics,TRUE,FALSE,"auto-generated, agc-504",PipelineCancelledRuns,Microsoft.DataFactory/factories,1,PT1M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,IntegrationRuntimeAvailableNodeNumber,Integration runtime available node count,TRUE,FALSE,"auto-generated, agc-497",IntegrationRuntimeAvailableNodeNumber,Microsoft.DataFactory/factories,1,PT5M,PT5M,Average,LessThan,1.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,TriggerSucceededRuns,Succeeded trigger runs metrics,TRUE,FALSE,"auto-generated, agc-460",TriggerSucceededRuns,Microsoft.DataFactory/factories,4,PT1M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,SSISIntegrationRuntimeStartFailed,Failed SSIS integration runtime start metrics,TRUE,FALSE,"auto-generated, agc-264",SSISIntegrationRuntimeStartFailed,Microsoft.DataFactory/factories,2,PT5M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
DataFactory,factories,SSISPackageExecutionFailed,Failed SSIS package execution metrics,TRUE,FALSE,"auto-generated, agc-259",SSISPackageExecutionFailed,Microsoft.DataFactory/factories,2,PT5M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
CognitiveServices,accounts,TotalCalls,Total number of calls.,TRUE,FALSE,"auto-generated, agc-1205",TotalCalls,Microsoft.CognitiveServices/accounts,3,PT5M,PT1M,Total,GreaterThan,5000.0,StaticThresholdCriterion,,,,,,,
CognitiveServices,accounts,TotalErrors,Total number of calls with error response (HTTP response code 4xx or 5xx).,TRUE,FALSE,"auto-generated, agc-1052",TotalErrors,Microsoft.CognitiveServices/accounts,2,PT5M,PT1M,Total,GreaterThan,5.0,StaticThresholdCriterion,,,,,,,
CognitiveServices,accounts,Latency,Latency in milliseconds.,TRUE,FALSE,"auto-generated, agc-882",Latency,Microsoft.CognitiveServices/accounts,2,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
CognitiveServices,accounts,SuccessRate,Availability percentage with the following calculation: (Total Calls - Server Errors)/Total Calls. Server Errors include any HTTP responses >=500.,TRUE,FALSE,"auto-generated, agc-852",SuccessRate,Microsoft.CognitiveServices/accounts,3,PT5M,PT1M,Average,LessThan,99.9,StaticThresholdCriterion,,,,,,,
CognitiveServices,accounts,ServerErrors,Number of calls with service internal error (HTTP response code 5xx).,TRUE,FALSE,"auto-generated, agc-606",ServerErrors,Microsoft.CognitiveServices/accounts,3,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
CognitiveServices,accounts,TokenTransaction,Number of Inference Tokens Processed on an OpenAI Model,TRUE,FALSE,"auto-generated, agc-530",TokenTransaction,Microsoft.CognitiveServices/accounts,2,PT5M,PT1M,Total,GreaterThan,180000.0,StaticThresholdCriterion,,,,,,,
CognitiveServices,accounts,BlockedCalls,Number of calls that exceeded rate or quota limit.,TRUE,FALSE,"auto-generated, agc-468",BlockedCalls,Microsoft.CognitiveServices/accounts,2,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
CognitiveServices,accounts,ClientErrors,Number of calls with client side error (HTTP response code 4xx).,TRUE,FALSE,"auto-generated, agc-420",ClientErrors,Microsoft.CognitiveServices/accounts,1,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
Automation,automationAccounts,TotalJob,The total number of jobs,TRUE,FALSE,alz,TotalJob,Microsoft.Automation/automationAccounts,2,PT5M,PT1M,Average,GreaterThan,0,StaticThresholdCriterion,"[{""name"": ""Status"", ""operator"": ""Exclude"", ""values"": [""Completed""]}]",,,,,false,https://docs.microsoft.com/en-us/azure/azure-monitor/essentials/metrics-supported#microsoftautomationautomationaccounts
Automation,automationAccounts,TotalUpdateDeploymentMachineRuns,Total software update deployment machine runs in a software update deployment run,TRUE,FALSE,"auto-generated, agc-1665",TotalUpdateDeploymentMachineRuns,Microsoft.Automation/automationAccounts,2,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,"[{""operator"": ""include"", ""name"": ""status"", ""values"": [""failed""]}]",,,,,,
Automation,automationAccounts,TotalUpdateDeploymentRuns,Total software update deployment runs,TRUE,FALSE,"auto-generated, agc-1222",TotalUpdateDeploymentRuns,Microsoft.Automation/automationAccounts,3,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,"[{""operator"": ""include"", ""name"": ""status"", ""values"": [""failed""]}]",,,,,,
StreamAnalytics,streamingjobs,Errors,Runtime Errors,TRUE,FALSE,"auto-generated, agc-1705",Errors,Microsoft.StreamAnalytics/streamingjobs,3,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
StreamAnalytics,streamingjobs,ResourceUtilization,SU (Memory) % Utilization,TRUE,FALSE,"auto-generated, agc-1354",ResourceUtilization,Microsoft.StreamAnalytics/streamingjobs,3,PT5M,PT1M,Maximum,GreaterThan,80.0,StaticThresholdCriterion,,,,,,,
StreamAnalytics,streamingjobs,OutputWatermarkDelaySeconds,Watermark Delay,TRUE,FALSE,"auto-generated, agc-1237",OutputWatermarkDelaySeconds,Microsoft.StreamAnalytics/streamingjobs,1,PT5M,PT1M,Maximum,GreaterThan,3600.0,StaticThresholdCriterion,,,,,,,
StreamAnalytics,streamingjobs,OutputEvents,Output Events,TRUE,FALSE,"auto-generated, agc-626",OutputEvents,Microsoft.StreamAnalytics/streamingjobs,3,PT15M,PT5M,Total,LessThanOrEqual,0.0,StaticThresholdCriterion,,,,,,,
StreamAnalytics,streamingjobs,ConversionErrors,Data Conversion Errors,TRUE,FALSE,"auto-generated, agc-623",ConversionErrors,Microsoft.StreamAnalytics/streamingjobs,3,PT5M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
StreamAnalytics,streamingjobs,DeserializationError,Input Deserialization Errors,TRUE,FALSE,"auto-generated, agc-537",DeserializationError,Microsoft.StreamAnalytics/streamingjobs,1,PT5M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
StreamAnalytics,streamingjobs,InputEvents,Input Events,TRUE,FALSE,"auto-generated, agc-421",InputEvents,Microsoft.StreamAnalytics/streamingjobs,1,PT5M,PT1M,Total,LessThan,1.0,StaticThresholdCriterion,,,,,,,
StreamAnalytics,streamingjobs,ProcessCPUUsagePercentage,CPU % Utilization,TRUE,FALSE,"auto-generated, agc-343",ProcessCPUUsagePercentage,Microsoft.StreamAnalytics/streamingjobs,2,PT5M,PT5M,Average,GreaterThan,80.0,StaticThresholdCriterion,,,,,,,
StreamAnalytics,streamingjobs,InputEventsSourcesBacklogged,Backlogged Input Events,TRUE,FALSE,"auto-generated, agc-341",InputEventsSourcesBacklogged,Microsoft.StreamAnalytics/streamingjobs,3,PT5M,PT1M,Maximum,GreaterThan,100000.0,StaticThresholdCriterion,,,,,,,
StreamAnalytics,streamingjobs,AMLCalloutFailedRequests,Failed Function Requests,TRUE,FALSE,"auto-generated, agc-314",AMLCalloutFailedRequests,Microsoft.StreamAnalytics/streamingjobs,3,PT1H,PT15M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
DocumentDB,databaseAccounts,TotalRequests,Number of requests made,TRUE,FALSE,"auto-generated, agc-10210",TotalRequests,Microsoft.DocumentDB/databaseAccounts,3,PT5M,PT1M,Count,GreaterThan,5.0,StaticThresholdCriterion,"[{""operator"": ""include"", ""name"": ""statuscode"", ""values"": [""429""]}]",,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts
https://learn.microsoft.com/azure/cosmos-db/monitor-reference#request-metrics
https://learn.microsoft.com/azure/cosmos-db/insights-overview#insights-overview"
DocumentDB,databaseAccounts,NormalizedRUConsumption,Max RU consumption percentage per minute,TRUE,FALSE,"auto-generated, agc-7686",NormalizedRUConsumption,Microsoft.DocumentDB/databaseAccounts,3,PT5M,PT1M,Average,GreaterThan,70.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/cosmos-db/monitor-normalized-request-units
https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts"
